date,direction,model_name,value,period,ribbon_low,ribbon_high,info
2019-12-31,export,Actual Data,2647028.8473024997,YoY,NA,NA,+ 71. gold
2020-01-31,export,Actual Data,2678738.3448858,YoY,NA,NA,+ 71. gold
2020-02-29,export,Actual Data,2685500.9141965,YoY,NA,NA,+ 71. gold
2020-03-31,export,Actual Data,2659083.7278708,YoY,NA,NA,+ 71. gold
2020-04-30,export,Actual Data,2597364.6946708,YoY,NA,NA,+ 71. gold
2020-05-31,export,Actual Data,2579506.0039431998,YoY,NA,NA,+ 71. gold
2020-06-30,export,Actual Data,2579850.6647696,YoY,NA,NA,+ 71. gold
2020-07-31,export,Actual Data,2555360.3263748,YoY,NA,NA,+ 71. gold
2020-08-31,export,Actual Data,2549866.4225474005,YoY,NA,NA,+ 71. gold
2020-09-30,export,Actual Data,2563581.5643343003,YoY,NA,NA,+ 71. gold
2020-10-31,export,Actual Data,2559478.580798,YoY,NA,NA,+ 71. gold
2020-11-30,export,Actual Data,2509312.1761071,YoY,NA,NA,+ 71. gold
2020-12-31,export,Actual Data,2536946.2527844002,YoY,NA,NA,+ 71. gold
2021-01-31,export,Actual Data,2525096.6857235003,YoY,NA,NA,+ 71. gold
2021-02-28,export,Actual Data,2523079.5970061,YoY,NA,NA,+ 71. gold
2021-03-31,export,Actual Data,2559295.7589705,YoY,NA,NA,+ 71. gold
2021-04-30,export,Actual Data,2654459.2389629,YoY,NA,NA,+ 71. gold
2021-05-31,export,Actual Data,2727321.0703414,YoY,NA,NA,+ 71. gold
2021-06-30,export,Actual Data,2798487.0764988004,YoY,NA,NA,+ 71. gold
2021-07-31,export,Actual Data,2843581.3907675003,YoY,NA,NA,+ 71. gold
2021-08-31,export,Actual Data,2878831.1166562997,YoY,NA,NA,+ 71. gold
2021-09-30,export,Actual Data,2850478.6591441003,YoY,NA,NA,+ 71. gold
2021-10-31,export,Actual Data,2886908.5237005996,YoY,NA,NA,+ 71. gold
2021-11-30,export,Actual Data,2976626.6066930997,YoY,NA,NA,+ 71. gold
2021-12-31,export,Actual Data,3015852.2000216004,YoY,NA,NA,+ 71. gold
2022-01-31,export,Actual Data,3101162.9135433002,YoY,NA,NA,+ 71. gold
2022-02-28,export,Actual Data,3160386.2833515,YoY,NA,NA,+ 71. gold
2022-03-31,export,Actual Data,3172088.6116183004,YoY,NA,NA,+ 71. gold
2022-04-30,export,Actual Data,3226314.0678005,YoY,NA,NA,+ 71. gold
2022-05-31,export,Actual Data,3317916.2949900003,YoY,NA,NA,+ 71. gold
2022-06-30,export,Actual Data,3523681.0330994,YoY,NA,NA,+ 71. gold
2022-07-31,export,Actual Data,3745033.8090403,YoY,NA,NA,+ 71. gold
2022-08-31,export,Actual Data,4039117.6041797996,YoY,NA,NA,+ 71. gold
2022-09-30,export,Actual Data,4406554.4722162,YoY,NA,NA,+ 71. gold
2022-10-31,export,Actual Data,4784306.2438975,YoY,NA,NA,+ 71. gold
2022-11-30,export,Actual Data,5101990.061685501,YoY,NA,NA,+ 71. gold
2022-12-31,export,Actual Data,5416180.0115138,YoY,NA,NA,+ 71. gold
2023-01-31,export,Actual Data,5627480.099802501,YoY,NA,NA,+ 71. gold
2023-02-28,export,Actual Data,5935802.7505381005,YoY,NA,NA,+ 71. gold
2023-03-31,export,Actual Data,6366993.3291772995,YoY,NA,NA,+ 71. gold
2023-04-30,export,Actual Data,6622287.8793443,YoY,NA,NA,+ 71. gold
2023-05-31,export,Actual Data,6873518.6747788,YoY,NA,NA,+ 71. gold
2023-06-30,export,Actual Data,6909816.441233801,YoY,NA,NA,+ 71. gold
2023-07-31,export,Actual Data,6997186.4434972,YoY,NA,NA,+ 71. gold
2023-08-31,export,Actual Data,7028535.438744299,YoY,NA,NA,+ 71. gold
2023-09-30,export,Actual Data,7048311.880822999,YoY,NA,NA,+ 71. gold
2023-10-31,export,Actual Data,7157940.421089599,YoY,NA,NA,+ 71. gold
2023-11-30,export,Actual Data,7697334.5104701,YoY,NA,NA,+ 71. gold
2023-12-31,export,Actual Data,8551916.1918929,YoY,NA,NA,+ 71. gold
2024-01-31,export,Actual Data,9038434.645182502,YoY,NA,NA,+ 71. gold
2024-02-29,export,Actual Data,10107710.4764653,YoY,NA,NA,+ 71. gold
2024-03-31,export,Actual Data,11307246.736617401,YoY,NA,NA,+ 71. gold
2024-04-30,export,Actual Data,12424329.449770302,YoY,NA,NA,+ 71. gold
2024-05-31,export,Actual Data,12777252.2711206,YoY,NA,NA,+ 71. gold
2024-06-30,export,Actual Data,13097994.5318685,YoY,NA,NA,+ 71. gold
2024-06-30,export,Forecast ets,13097994.5318685,YoY,13097994.5318685,13097994.5318685,+ 71. gold
2024-07-31,export,Forecast ets,13245549.315085845,YoY,13011737.079660488,13552833.550511202,+ 71. gold
2024-08-31,export,Forecast ets,13361030.248336094,YoY,12889279.832231376,13979724.66444081,+ 71. gold
2024-09-30,export,Forecast ets,13489697.930916809,YoY,12772522.11369936,14427289.748134257,+ 71. gold
2024-10-31,export,Forecast ets,13472284.189483702,YoY,12506540.219809067,14731916.159158342,+ 71. gold
2024-11-30,export,Forecast ets,13042288.270385992,YoY,11825979.20723429,14625957.333537694,+ 71. gold
2024-12-31,export,Forecast ets,12305527.705740176,YoY,10834085.449108817,14217801.962371536,+ 71. gold
2025-01-31,export,Forecast ets,11969986.788940068,YoY,10258126.965960855,14196150.611919284,+ 71. gold
2025-02-28,export,Forecast ets,11010554.806406949,YoY,9046715.262601102,13562170.350212794,+ 71. gold
2025-03-31,export,Forecast ets,9832252.604082279,YoY,7612893.225173809,12712859.982990753,+ 71. gold
2025-04-30,export,Forecast ets,8858957.234956354,YoY,6379207.404809497,12073427.065103212,+ 71. gold
2025-05-31,export,Forecast ets,8592313.918061525,YoY,5850035.277569495,12142784.558553552,+ 71. gold
2025-06-30,export,Forecast ets,8468457.543412622,YoY,5454559.829167401,12364019.25765784,+ 71. gold
2025-07-31,export,Forecast ets,8468543.84873164,YoY,5417155.652935928,12401596.044527352,+ 71. gold
2025-08-31,export,Forecast ets,8468629.643005691,YoY,5381990.952754136,12436932.333257247,+ 71. gold
2025-09-30,export,Forecast ets,8468722.523350414,YoY,5345721.031475389,12473388.015225437,+ 71. gold
2025-10-31,export,Forecast ets,8468814.007244091,YoY,5311494.875452722,12507797.139035463,+ 71. gold
2025-11-30,export,Forecast ets,8468902.77465203,YoY,5279538.358512048,12539931.190792013,+ 71. gold
2025-12-31,export,Forecast ets,8468993.622286875,YoY,5247955.153745162,12571696.090828583,+ 71. gold
2024-06-30,export,Forecast stlm,13097994.5318685,YoY,13097994.5318685,13097994.5318685,+ 71. gold
2024-07-31,export,Forecast stlm,13252181.021953937,YoY,13023638.184897624,13554195.859010246,+ 71. gold
2024-08-31,export,Forecast stlm,13385106.369704854,YoY,12924182.481243331,13992974.25816638,+ 71. gold
2024-09-30,export,Forecast stlm,13499877.031799689,YoY,12803101.275988426,14417068.787610952,+ 71. gold
2024-10-31,export,Forecast stlm,13476482.395651072,YoY,12540656.442231644,14706196.349070504,+ 71. gold
2024-11-30,export,Forecast stlm,13044121.280152451,YoY,11866258.874328315,14589343.68597659,+ 71. gold
2024-12-31,export,Forecast stlm,12304511.35226274,YoY,10881797.070435997,14168057.634089485,+ 71. gold
2025-01-31,export,Forecast stlm,12023727.924194349,YoY,10353487.54434489,14208272.304043807,+ 71. gold
2025-02-28,export,Forecast stlm,11085624.689059634,YoY,9165303.06471684,13593722.31340243,+ 71. gold
2025-03-31,export,Forecast stlm,9919443.677743813,YoY,7746587.703961806,12753547.65152582,+ 71. gold
2025-04-30,export,Forecast stlm,8944954.521427058,YoY,6517199.693816884,12107429.349037234,+ 71. gold
2025-05-31,export,Forecast stlm,8696861.354509888,YoY,6011920.945512893,12189993.763506886,+ 71. gold
2025-06-30,export,Forecast stlm,8579740.109922964,YoY,5635396.302524572,12405747.917321358,+ 71. gold
2025-07-31,export,Forecast stlm,8590073.00596196,YoY,5612712.361429593,12449097.650494326,+ 71. gold
2025-08-31,export,Forecast stlm,8600405.902000956,YoY,5591765.697664529,12490710.10633738,+ 71. gold
2025-09-30,export,Forecast stlm,8610738.79803995,YoY,5572238.973833169,12530902.622246731,+ 71. gold
2025-10-31,export,Forecast stlm,8621071.694078945,YoY,5553905.230936798,12569902.15722109,+ 71. gold
2025-11-30,export,Forecast stlm,8631404.590117939,YoY,5536593.991255153,12607879.188980725,+ 71. gold
2025-12-31,export,Forecast stlm,8641737.486156935,YoY,5520172.590944098,12644966.38136977,+ 71. gold
2019-12-31,export,Actual Data,2232264.1675925,YoY,NA,NA,NO 71. gold
2020-01-31,export,Actual Data,2265211.0393458,YoY,NA,NA,NO 71. gold
2020-02-29,export,Actual Data,2266004.8997565,YoY,NA,NA,NO 71. gold
2020-03-31,export,Actual Data,2258179.4757008003,YoY,NA,NA,NO 71. gold
2020-04-30,export,Actual Data,2230695.1215208,YoY,NA,NA,NO 71. gold
2020-05-31,export,Actual Data,2210307.1900532,YoY,NA,NA,NO 71. gold
2020-06-30,export,Actual Data,2204925.1879796004,YoY,NA,NA,NO 71. gold
2020-07-31,export,Actual Data,2197994.8232748,YoY,NA,NA,NO 71. gold
2020-08-31,export,Actual Data,2175058.6210374003,YoY,NA,NA,NO 71. gold
2020-09-30,export,Actual Data,2183042.1798243,YoY,NA,NA,NO 71. gold
2020-10-31,export,Actual Data,2169175.206698,YoY,NA,NA,NO 71. gold
2020-11-30,export,Actual Data,2139772.4695071,YoY,NA,NA,NO 71. gold
2020-12-31,export,Actual Data,2167711.1009144,YoY,NA,NA,NO 71. gold
2021-01-31,export,Actual Data,2156390.2270935,YoY,NA,NA,NO 71. gold
2021-02-28,export,Actual Data,2170988.9341161004,YoY,NA,NA,NO 71. gold
2021-03-31,export,Actual Data,2205780.3102405,YoY,NA,NA,NO 71. gold
2021-04-30,export,Actual Data,2284202.9045929,YoY,NA,NA,NO 71. gold
2021-05-31,export,Actual Data,2372244.7007114,YoY,NA,NA,NO 71. gold
2021-06-30,export,Actual Data,2451857.9907688005,YoY,NA,NA,NO 71. gold
2021-07-31,export,Actual Data,2488587.9132875004,YoY,NA,NA,NO 71. gold
2021-08-31,export,Actual Data,2547901.2493462996,YoY,NA,NA,NO 71. gold
2021-09-30,export,Actual Data,2535349.3623541,YoY,NA,NA,NO 71. gold
2021-10-31,export,Actual Data,2578478.7793805995,YoY,NA,NA,NO 71. gold
2021-11-30,export,Actual Data,2655481.4310330995,YoY,NA,NA,NO 71. gold
2021-12-31,export,Actual Data,2689510.5242316,YoY,NA,NA,NO 71. gold
2022-01-31,export,Actual Data,2763836.6334533,YoY,NA,NA,NO 71. gold
2022-02-28,export,Actual Data,2815665.8267115,YoY,NA,NA,NO 71. gold
2022-03-31,export,Actual Data,2813081.6416883003,YoY,NA,NA,NO 71. gold
2022-04-30,export,Actual Data,2848803.1339205,YoY,NA,NA,NO 71. gold
2022-05-31,export,Actual Data,2914878.6265300005,YoY,NA,NA,NO 71. gold
2022-06-30,export,Actual Data,3030603.1390894,YoY,NA,NA,NO 71. gold
2022-07-31,export,Actual Data,3182517.3878803,YoY,NA,NA,NO 71. gold
2022-08-31,export,Actual Data,3392252.5788998,YoY,NA,NA,NO 71. gold
2022-09-30,export,Actual Data,3700174.8459262,YoY,NA,NA,NO 71. gold
2022-10-31,export,Actual Data,3927771.5998675004,YoY,NA,NA,NO 71. gold
2022-11-30,export,Actual Data,4177088.9025655002,YoY,NA,NA,NO 71. gold
2022-12-31,export,Actual Data,4426769.1878938,YoY,NA,NA,NO 71. gold
2023-01-31,export,Actual Data,4605571.876312501,YoY,NA,NA,NO 71. gold
2023-02-28,export,Actual Data,4800916.138328101,YoY,NA,NA,NO 71. gold
2023-03-31,export,Actual Data,5091304.4347273,YoY,NA,NA,NO 71. gold
2023-04-30,export,Actual Data,5253552.8312643,YoY,NA,NA,NO 71. gold
2023-05-31,export,Actual Data,5438716.442108801,YoY,NA,NA,NO 71. gold
2023-06-30,export,Actual Data,5531517.818313801,YoY,NA,NA,NO 71. gold
2023-07-31,export,Actual Data,5642051.3032172,YoY,NA,NA,NO 71. gold
2023-08-31,export,Actual Data,5622083.6590843,YoY,NA,NA,NO 71. gold
2023-09-30,export,Actual Data,5559886.512922999,YoY,NA,NA,NO 71. gold
2023-10-31,export,Actual Data,5572962.254529599,YoY,NA,NA,NO 71. gold
2023-11-30,export,Actual Data,5452625.4949101,YoY,NA,NA,NO 71. gold
2023-12-31,export,Actual Data,5332190.8914129,YoY,NA,NA,NO 71. gold
2024-01-31,export,Actual Data,5296135.1134625,YoY,NA,NA,NO 71. gold
2024-02-29,export,Actual Data,5286562.8771853,YoY,NA,NA,NO 71. gold
2024-03-31,export,Actual Data,5168025.108797401,YoY,NA,NA,NO 71. gold
2024-04-30,export,Actual Data,5109887.060020301,YoY,NA,NA,NO 71. gold
2024-05-31,export,Actual Data,4988558.4327506,YoY,NA,NA,NO 71. gold
2024-06-30,export,Actual Data,4928764.542578501,YoY,NA,NA,NO 71. gold
2024-06-30,export,Forecast ets,4928764.542578501,YoY,4928764.542578501,4928764.542578501,NO 71. gold
2024-07-31,export,Forecast ets,4831022.706655843,YoY,4795855.471230487,4866189.9420812,NO 71. gold
2024-08-31,export,Forecast ets,4784504.547966095,YoY,4710044.1318613775,4858964.964070811,NO 71. gold
2024-09-30,export,Forecast ets,4762479.780716808,YoY,4641238.963499359,4883720.597934255,NO 71. gold
2024-10-31,export,Forecast ets,4703246.956933704,YoY,4532082.987259066,4874410.926608344,NO 71. gold
2024-11-30,export,Forecast ets,4720575.05988599,YoY,4497490.9967342885,4943659.123037692,NO 71. gold
2024-12-31,export,Forecast ets,4740247.679570177,YoY,4460675.422938818,5019819.936201535,NO 71. gold
2025-01-31,export,Forecast ets,4671868.95981007,YoY,4350524.136830855,4993213.782789285,NO 71. gold
2025-02-28,export,Forecast ets,4610134.680636948,YoY,4235455.136831102,4984814.224442795,NO 71. gold
2025-03-31,export,Forecast ets,4606164.77574228,YoY,4174610.3968338086,5037719.154650753,NO 71. gold
2025-04-30,export,Forecast ets,4616074.866816355,YoY,4122775.036669497,5109374.696963212,NO 71. gold
2025-05-31,export,Forecast ets,4621548.616701524,YoY,4064364.976209495,5178732.257193552,NO 71. gold
2025-06-30,export,Forecast ets,4622865.543412622,YoY,3992707.829167402,5253023.257657841,NO 71. gold
2025-07-31,export,Forecast ets,4622951.84873164,YoY,3955303.652935928,5290600.044527351,NO 71. gold
2025-08-31,export,Forecast ets,4623037.6430056915,YoY,3920138.952754136,5325936.333257248,NO 71. gold
2025-09-30,export,Forecast ets,4623130.523350413,YoY,3883869.03147539,5362392.015225437,NO 71. gold
2025-10-31,export,Forecast ets,4623222.007244092,YoY,3849642.8754527224,5396801.139035463,NO 71. gold
2025-11-30,export,Forecast ets,4623310.77465203,YoY,3817686.358512048,5428935.190792013,NO 71. gold
2025-12-31,export,Forecast ets,4623401.622286874,YoY,3786103.1537451623,5460700.090828584,NO 71. gold
2024-06-30,export,Forecast stlm,4928764.542578501,YoY,4928764.542578501,4928764.542578501,NO 71. gold
2024-07-31,export,Forecast stlm,4837654.413523935,YoY,4807756.576467624,4867552.250580245,NO 71. gold
2024-08-31,export,Forecast stlm,4808580.669334856,YoY,4744946.78087333,4872214.557796382,NO 71. gold
2024-09-30,export,Forecast stlm,4772658.881599687,YoY,4671818.125788424,4873499.63741095,NO 71. gold
2024-10-31,export,Forecast stlm,4707445.163101074,YoY,4566199.209681645,4848691.1165205045,NO 71. gold
2024-11-30,export,Forecast stlm,4722408.069652449,YoY,4537770.663828313,4907045.475476587,NO 71. gold
2024-12-31,export,Forecast stlm,4739231.3260927405,YoY,4508387.044265997,4970075.607919484,NO 71. gold
2025-01-31,export,Forecast stlm,4725610.0950643495,YoY,4445884.715214891,5005335.474913808,NO 71. gold
2025-02-28,export,Forecast stlm,4685204.563289635,YoY,4354042.93894684,5016366.187632429,NO 71. gold
2025-03-31,export,Forecast stlm,4693355.8494038135,YoY,4308304.875621807,5078406.82318582,NO 71. gold
2025-04-30,export,Forecast stlm,4702072.153287059,YoY,4260767.3256768845,5143376.980897233,NO 71. gold
2025-05-31,export,Forecast stlm,4726096.053149888,YoY,4226250.644152893,5225941.462146885,NO 71. gold
2025-06-30,export,Forecast stlm,4734148.109922965,YoY,4173544.3025245722,5294751.917321358,NO 71. gold
2025-07-31,export,Forecast stlm,4744481.00596196,YoY,4150860.361429593,5338101.650494327,NO 71. gold
2025-08-31,export,Forecast stlm,4754813.902000955,YoY,4129913.6976645296,5379714.10633738,NO 71. gold
2025-09-30,export,Forecast stlm,4765146.7980399495,YoY,4110386.973833169,5419906.62224673,NO 71. gold
2025-10-31,export,Forecast stlm,4775479.694078945,YoY,4092053.2309367983,5458906.15722109,NO 71. gold
2025-11-30,export,Forecast stlm,4785812.590117939,YoY,4074741.9912551534,5496883.188980724,NO 71. gold
2025-12-31,export,Forecast stlm,4796145.486156935,YoY,4058320.590944099,5533970.381369769,NO 71. gold
